"Abu Dhabi",0
"Afghanistan",898
"Africa not stated",13
"Albania",298
"Algeria",149
"Andorra",5
"Angola",24
"Antigua and Barbuda",5
"Argentina",5660
"Armenia",91
"Aruba",0
"Asia not stated",3
"Australia",4755
"Austria",2402
"Azerbaijan",134
"Bahamas",9
"Bahrain",13
"Bangladesh",1750
"Barbados",6
"Belarus",283
"Belgium",3385
"Belize",2
"Benin",30
"Bermuda",0
"Bhutan",11
"Bolivia",88
"Bosnia and Herzegovina",727
"Botswana",9
"Brazil",3330
"British West Indies",0
"Brunei",5
"Bulgaria",10420
"Burkina Faso",26
"Burundi",37
"Cambodia",60
"Cameroon",488
"Canada",4599
"Cape Verde",5
"Central African Republic",9
"Chad",3
"Chile",2446
"China",15257
"Colombia",945
"Comoros",0
"Congo, Democratic Republic",201
"Congo, Republic",32
"Cook Islands",0
"Costa Rica",231
"Croatia",2323
"Cuba",101
"Curacao",0
"Cyprus",231
"Czech Republic",3607
"Czechoslovakia",22
"Djibouti",0
"Dominica",7
"Dominican Republic",55
"Dubai",0
"East Jerusalem",0
"East Timor",1
"Ecuador",173
"Egypt",749
"El Salvador",23
"Equatorial Guinea",0
"Eritrea",629
"Estonia",1500
"Eswantini",18
"Ethiopia",417
"Europe not stated",2
"Falkland Islands",0
"Fiji",11
"Finland",4131
"France",11865
"French Guiana",0
"French territories in the Pacific",0
"French West Indies",0
"Gabon",4
"Gambia, The",65
"Gaza",0
"GDR",0
"Georgia",156
"Germany",27000
"Ghana",856
"Greece",3307
"Grenada",2
"Guadeloupe",0
"Guatemala",80
"Guinea",27
"Guinea-Bissau",8
"Guyana",0
"Haiti",12
"Honduras",45
"Hong Kong",0
"Hungary",6155
"Iceland",8010
"India",16392
"Indochina",0
"Indonesia",713
"Iran",3749
"Iraq",980
"Ireland",2874
"Israel",415
"Italy",17508
"Ivory Coast",74
"Jamaica",43
"Japan",4199
"Jordan",185
"Kazakhstan",200
"Kenya",474
"Kiribati",0
"Kosovo",177
"Kuwait",8
"Kyrgyzstan",91
"Laos",9
"Latvia",4931
"Lebanon",358
"Lesotho",2
"Liberia",17
"Libya",39
"Liechtenstein",21
"Lithuania",15551
"Luxembourg",161
"Macao",0
"Madagascar",11
"Malawi",16
"Malaysia",541
"Maldives",10
"Mali",10
"Malta",106
"Marshall Islands",0
"Martinique",0
"Mauritania",4
"Mauritius",38
"Mexico",1826
"Middle East not stated",5
"Moldova",251
"Monaco",1
"Mongolia",41
"Montenegro",75
"Morocco",444
"Mozambique",19
"Myanmar",143
"Namibia",20
"Nauru",2
"Nepal",4212
"Netherlands",7630
"Netherlands Antilles",0
"New Zealand",849
"Nicaragua",30
"Niger",7
"Nigeria",652
"North America not stated",0
"North Korea",250
"North Yemen",0
"Northern Ireland",0
"Norway",16591
"Not stated",871
"Oman",15
"Pacific Islands",0
"Pakistan",2926
"Palestine",0
"Panama",38
"Papua New Guinea",2
"Paraguay",55
"Peru",281
"Philippines",8976
"Poland",29876
"Portugal",5150
"Puerto Rico",0
"Qatar",14
"Republic of North Macedonia",256
"Reunion",0
"Romania",35540
"Russia",2245
"Rwanda",48
"Saint Helena",0
"Saint Kitts and Nevis",2
"Saint Lucia",6
"Saint Vincent and the Grenadines",1
"Samoa",3
"San Marino",3
"Sao Tome and Principe",2
"Saudi Arabia",76
"Senegal",50
"Serbia",719
"Serbia and Montenegro",36
"Seychelles",5
"Sierra Leone",27
"Sikkim",0
"Singapore",1610
"Slovakia",4624
"Slovenia",702
"Solomon Islands",1
"Somalia",1911
"South Africa",539
"South and central America not stated",0
"South Korea",2330
"South Sudan",4
"Southwest Africa",0
"Soviet Union",14
"Spain",13260
"Spanish territories in Africa",0
"Sri Lanka",471
"Stateless",677
"Sudan",145
"Suriname",1
"Sweden",12549
"Switzerland",2366
"Syria",6281
"Taiwan",690
"Tajikistan",7
"Tanzania",220
"Thailand",2425
"Togo",21
"Tonga",0
"Trinidad and Tobago",31
"Trucial Oman",0
"Tunisia",189
"Turkey",3855
"Turkmenistan",8
"Tuvalu",0
"Uganda",337
"Ukraine",22257
"United Arab Emirates",7
"United Kingdom",12179
"Uruguay",87
"USA",31391
"Uzbekistan",157
"Vanuatu",4
"Vatican City State",0
"Venezuela",159
"Vietnam",1609
"West Bank",0
"West bank and Gaza",0
"West Indies",1
"Yemen",41
"Yugoslavia",272
"Yugoslavia, Federal Republic",33
"Zambia",87
"Zimbabwe",101
